,PlantID,Test,Ref,Type,Cost
0,Col0_12_10_2018_E,7,0,~,0.32393463039548415
1,Col0_12_10_2018_E,9,1,M,0.5220218111714583
2,Col0_12_10_2018_E,12,2,M,0.10366984055070827
3,Col0_12_10_2018_E,13,3,~,0.36527407043198135
4,Col0_12_10_2018_E,15,4,M,0.06932980519084642
5,Col0_12_10_2018_E,16,5,~,0.1200008425377046
6,Col0_12_10_2018_E,17,7,S,0.36683152037306677
7,Col0_12_10_2018_E,18,8,~,0.02713267254846774
8,Col0_12_10_2018_E,19,11,S,0.346730232503478
9,Col0_12_10_2018_E,20,12,~,0.11487775306877346
10,Col0_12_10_2018_E,21,14,S,0.297692423388352
11,Col0_12_10_2018_E,22,17,S,0.0640473348430155
12,Col0_12_10_2018_E,23,18,~,0.21002005555518766
13,Col0_12_10_2018_E,24,20,S,0.29229590438751574
14,Col0_12_10_2018_E,26,21,M,0.05345318861019255
0,Col0_26_10_2018_B,0,0,~,0.32738711997906217
1,Col0_26_10_2018_B,1,1,~,0.2036504727403366
2,Col0_26_10_2018_B,4,2,M,0.41384296852578706
3,Col0_26_10_2018_B,5,3,~,0.06593252830449425
4,Col0_26_10_2018_B,6,4,~,0.04189223894657301
5,Col0_26_10_2018_B,7,6,S,0.06438398289369363
6,Col0_26_10_2018_B,8,7,~,0.11666097838008027
7,Col0_26_10_2018_B,9,8,~,0.028520800034943727
8,Col0_26_10_2018_B,10,9,~,0.031186612550187842
9,Col0_26_10_2018_B,11,10,~,0.0878094497222357
10,Col0_26_10_2018_B,12,11,~,0.10886746679459991
11,Col0_26_10_2018_B,13,12,~,0.09138154463223902
12,Col0_26_10_2018_B,14,13,~,0.055588810843434144
13,Col0_26_10_2018_B,15,14,~,0.12146164911946444
14,Col0_26_10_2018_B,16,15,~,0.13202916196760084
15,Col0_26_10_2018_B,17,16,~,0.18566614499531342
16,Col0_26_10_2018_B,18,17,~,0.1561926163100429
0,Col0_26_10_2018_A,0,0,~,0.1257779004390782
1,Col0_26_10_2018_A,2,1,M,0.08235268689658667
2,Col0_26_10_2018_A,5,2,M,0.3607645009975525
3,Col0_26_10_2018_A,6,3,~,0.03528316580847135
4,Col0_26_10_2018_A,7,4,~,0.0690365329494862
5,Col0_26_10_2018_A,8,5,~,0.019341255620674236
6,Col0_26_10_2018_A,9,6,~,0.11702611861291246
7,Col0_26_10_2018_A,10,7,~,0.06614360108441975
8,Col0_26_10_2018_A,11,8,~,0.12689687993510346
9,Col0_26_10_2018_A,12,9,~,0.0609496999019965
10,Col0_26_10_2018_A,13,10,~,0.16840618266517948
11,Col0_26_10_2018_A,14,11,~,0.07082405032153005
12,Col0_26_10_2018_A,15,12,~,0.11678461672362128
13,Col0_26_10_2018_A,17,13,M,0.016111073596451142
14,Col0_26_10_2018_A,18,15,S,0.08287145562460618
15,Col0_26_10_2018_A,21,16,M,0.26515039290425424
16,Col0_26_10_2018_A,22,18,S,0.08162530213043584
